id,jenis,warna,image_array
99,1,0,"[[[227 227 225]
  [227 227 225]
  [228 228 226]
  ...
  [234 234 234]
  [234 234 234]
  [233 233 233]]

 [[227 227 225]
  [228 228 226]
  [228 228 226]
  ...
  [234 234 234]
  [234 234 234]
  [233 233 233]]

 [[228 228 226]
  [228 228 226]
  [228 228 226]
  ...
  [234 234 234]
  [234 234 234]
  [233 233 233]]

 ...

 [[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]

 [[238 238 238]
  [238 238 238]
  [239 239 239]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]

 [[238 238 238]
  [238 238 238]
  [238 238 238]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]]"
100,0,3,"[[[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [238 238 236]
  [238 238 236]
  [237 237 235]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [239 239 237]
  [238 238 236]
  [237 237 235]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [239 239 237]
  [238 238 236]
  [237 237 235]]

 ...

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [218 218 218]
  [216 216 216]
  [215 215 215]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [217 217 217]
  [215 215 215]
  [213 213 213]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [216 216 216]
  [213 213 213]
  [211 211 211]]]"
101,1,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [249 254 255]
  [250 255 255]
  [251 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [248 255 255]
  [249 255 255]
  [248 255 255]]]"
102,0,3,"[[[153 104  45]
  [150 102  40]
  [148 100  36]
  ...
  [ 95  56  17]
  [ 94  55  14]
  [ 93  54  13]]

 [[151 106  41]
  [147 102  37]
  [144  96  30]
  ...
  [ 96  56  20]
  [ 95  56  17]
  [ 93  54  15]]

 [[132  87  22]
  [138  93  28]
  [144  99  34]
  ...
  [ 85  47  11]
  [ 83  45   9]
  [ 84  46   9]]

 ...

 [[ 12  11   9]
  [ 14  13  11]
  [ 19  18  16]
  ...
  [ 71  10   9]
  [ 85  11   8]
  [121  27  17]]

 [[ 13  12  10]
  [ 13  12  10]
  [ 23  22  20]
  ...
  [ 70   9   8]
  [ 90  15  12]
  [126  30  18]]

 [[ 14  13  11]
  [ 11  10   8]
  [ 25  23  24]
  ...
  [ 71   7   7]
  [ 94  16  12]
  [128  30  19]]]"
103,1,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
104,0,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
105,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
106,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [249 255 255]
  [254 255 255]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [248 255 255]
  [254 254 255]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [250 255 255]
  [254 254 255]
  [255 254 255]]

 ...

 [[255 253 255]
  [251 255 255]
  [255 254 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 253 255]
  [250 255 255]
  [255 254 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 253 255]
  [250 255 255]
  [255 253 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
107,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
108,1,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
109,1,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
110,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
111,0,1,"[[[247 247 249]
  [247 247 249]
  [247 247 249]
  ...
  [247 248 252]
  [247 248 252]
  [247 248 252]]

 [[247 247 249]
  [247 247 249]
  [247 247 249]
  ...
  [247 248 252]
  [247 248 252]
  [247 248 252]]

 [[247 247 249]
  [247 247 249]
  [247 247 249]
  ...
  [247 248 252]
  [247 248 252]
  [247 248 252]]

 ...

 [[236 237 241]
  [236 237 241]
  [236 237 241]
  ...
  [233 238 242]
  [233 238 242]
  [233 238 242]]

 [[236 237 241]
  [236 237 241]
  [236 237 241]
  ...
  [233 238 242]
  [233 238 242]
  [234 239 243]]

 [[236 237 241]
  [236 237 241]
  [236 237 241]
  ...
  [233 238 242]
  [234 239 243]
  [234 239 243]]]"
112,1,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
113,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
114,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
115,1,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
116,0,1,"[[[242 254 255]
  [255 255 253]
  [255 253 246]
  ...
  [248 255 254]
  [251 253 232]
  [255 249 255]]

 [[255 254 253]
  [233 211 197]
  [230 200 176]
  ...
  [232 201 183]
  [242 206 174]
  [246 242 233]]

 [[255 253 244]
  [234 202 179]
  [228 184 149]
  ...
  [204 181 150]
  [210 176 138]
  [238 242 227]]

 ...

 [[255 253 244]
  [220 190 162]
  [198 156 114]
  ...
  [215 168 138]
  [219 176 134]
  [247 228 221]]

 [[255 250 241]
  [222 192 166]
  [205 163 123]
  ...
  [203 158 129]
  [211 172 131]
  [237 223 214]]

 [[242 255 255]
  [243 240 235]
  [244 231 214]
  ...
  [247 233 224]
  [238 227 205]
  [242 255 255]]]"
117,0,3,"[[[242 242 240]
  [242 242 240]
  [242 242 240]
  ...
  [240 241 236]
  [240 241 236]
  [240 241 236]]

 [[242 242 240]
  [242 242 240]
  [242 242 240]
  ...
  [241 242 237]
  [241 242 237]
  [241 242 237]]

 [[242 242 240]
  [242 242 240]
  [242 242 240]
  ...
  [241 242 237]
  [241 242 237]
  [241 242 237]]

 ...

 [[ 15  29  55]
  [ 11  25  51]
  [ 10  24  50]
  ...
  [  7  21  47]
  [ 16  31  54]
  [  6  21  44]]

 [[  8  24  49]
  [  8  22  48]
  [ 16  30  56]
  ...
  [ 14  29  52]
  [  1  16  39]
  [ 19  34  57]]

 [[ 12  28  53]
  [  7  23  48]
  [  7  21  47]
  ...
  [  9  24  47]
  [ 17  32  55]
  [  7  22  45]]]"
118,1,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
119,1,2,"[[[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]

 [[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]

 [[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]

 ...

 [[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]

 [[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]

 [[255 231 197]
  [255 231 197]
  [255 231 197]
  ...
  [255 231 197]
  [255 231 197]
  [255 231 197]]]"
120,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
121,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
122,0,2,"[[[238 238 238]
  [238 238 238]
  [238 238 238]
  ...
  [238 238 238]
  [238 238 238]
  [238 238 238]]

 [[238 238 238]
  [238 238 238]
  [237 237 237]
  ...
  [238 238 238]
  [238 238 238]
  [238 238 238]]

 [[238 238 238]
  [238 238 238]
  [237 237 237]
  ...
  [237 237 237]
  [237 237 237]
  [237 237 237]]

 ...

 [[238 238 238]
  [238 238 238]
  [237 237 237]
  ...
  [237 237 237]
  [237 237 237]
  [237 237 237]]

 [[238 238 238]
  [238 238 238]
  [237 237 237]
  ...
  [237 237 237]
  [237 237 237]
  [237 237 237]]

 [[238 238 238]
  [238 238 238]
  [237 237 237]
  ...
  [237 237 237]
  [237 237 237]
  [237 237 237]]]"
123,1,4,"[[[232 227 231]
  [232 227 231]
  [232 227 231]
  ...
  [226 220 222]
  [226 220 222]
  [226 220 222]]

 [[231 226 230]
  [231 226 230]
  [231 226 230]
  ...
  [226 220 222]
  [226 220 222]
  [226 220 222]]

 [[231 226 230]
  [231 226 230]
  [231 226 230]
  ...
  [226 220 222]
  [226 220 222]
  [226 220 222]]

 ...

 [[227 221 223]
  [227 221 223]
  [227 221 223]
  ...
  [220 214 214]
  [220 214 214]
  [220 214 214]]

 [[227 221 223]
  [227 221 223]
  [227 221 223]
  ...
  [220 214 214]
  [220 214 214]
  [220 214 214]]

 [[227 221 223]
  [227 221 223]
  [227 221 223]
  ...
  [220 214 214]
  [220 214 214]
  [220 214 214]]]"
124,0,3,"[[[215 205 193]
  [216 206 194]
  [216 206 194]
  ...
  [201 187 174]
  [200 186 173]
  [200 186 173]]

 [[219 209 197]
  [218 208 196]
  [217 207 195]
  ...
  [202 188 175]
  [201 187 174]
  [201 187 174]]

 [[217 207 195]
  [217 207 195]
  [217 207 195]
  ...
  [203 189 176]
  [202 188 175]
  [202 188 175]]

 ...

 [[212 204 201]
  [226 218 215]
  [228 223 219]
  ...
  [187 175 163]
  [190 176 165]
  [194 177 167]]

 [[242 233 226]
  [226 219 213]
  [186 179 173]
  ...
  [187 175 161]
  [192 179 163]
  [195 179 164]]

 [[223 213 204]
  [236 227 220]
  [180 173 165]
  ...
  [189 177 161]
  [189 176 160]
  [192 176 161]]]"
125,1,2,"[[[217 211 211]
  [218 212 212]
  [219 213 213]
  ...
  [234 230 229]
  [234 230 229]
  [234 230 229]]

 [[218 212 212]
  [218 212 212]
  [219 213 213]
  ...
  [234 230 229]
  [234 230 229]
  [234 230 229]]

 [[220 214 214]
  [220 214 214]
  [220 214 214]
  ...
  [234 230 229]
  [234 230 229]
  [234 230 229]]

 ...

 [[223 219 220]
  [223 219 220]
  [223 219 220]
  ...
  [227 223 222]
  [227 223 222]
  [227 223 222]]

 [[223 219 220]
  [223 219 220]
  [223 219 220]
  ...
  [226 222 221]
  [226 222 221]
  [226 222 221]]

 [[223 219 220]
  [223 219 220]
  [223 219 220]
  ...
  [225 221 220]
  [225 221 220]
  [225 221 220]]]"
126,0,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
127,1,4,"[[[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 ...

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]"
128,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
129,1,1,"[[[243 244 239]
  [237 238 233]
  [235 236 231]
  ...
  [234 235 230]
  [235 236 231]
  [238 239 234]]

 [[243 244 239]
  [237 238 233]
  [236 237 232]
  ...
  [234 235 230]
  [236 237 232]
  [238 239 234]]

 [[244 245 240]
  [238 239 234]
  [236 237 232]
  ...
  [235 236 231]
  [236 237 232]
  [238 239 234]]

 ...

 [[249 248 244]
  [246 245 241]
  [244 243 239]
  ...
  [229 228 224]
  [230 229 227]
  [235 234 232]]

 [[249 248 244]
  [246 245 241]
  [244 243 239]
  ...
  [229 228 226]
  [229 228 226]
  [235 234 232]]

 [[249 248 244]
  [246 245 241]
  [244 243 239]
  ...
  [229 228 226]
  [229 228 226]
  [235 234 232]]]"
130,1,0,"[[[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [252 252 252]
  [251 251 251]
  [251 251 251]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [252 252 252]
  [251 251 251]
  [251 251 251]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [252 252 252]
  [251 251 251]
  [251 251 251]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]"
131,0,2,"[[[221 216 210]
  [221 216 210]
  [221 216 210]
  ...
  [223 219 210]
  [223 219 210]
  [223 219 210]]

 [[221 216 210]
  [221 216 210]
  [221 216 210]
  ...
  [223 219 210]
  [223 219 210]
  [223 219 210]]

 [[221 216 210]
  [221 216 210]
  [221 216 210]
  ...
  [223 219 210]
  [223 219 210]
  [223 219 210]]

 ...

 [[218 213 207]
  [219 214 208]
  [219 214 208]
  ...
  [226 221 215]
  [226 221 215]
  [226 221 215]]

 [[218 213 207]
  [219 214 208]
  [219 214 208]
  ...
  [226 221 215]
  [226 221 215]
  [226 221 215]]

 [[218 213 207]
  [219 214 208]
  [219 214 208]
  ...
  [227 222 216]
  [227 222 216]
  [227 222 216]]]"
132,0,3,"[[[231 235 238]
  [236 240 243]
  [232 236 239]
  ...
  [239 243 242]
  [234 238 241]
  [229 232 241]]

 [[237 241 244]
  [231 235 238]
  [231 235 238]
  ...
  [230 234 235]
  [233 237 238]
  [239 243 246]]

 [[236 240 243]
  [229 233 236]
  [237 241 244]
  ...
  [233 237 240]
  [233 237 238]
  [233 237 236]]

 ...

 [[234 239 235]
  [234 239 235]
  [234 239 235]
  ...
  [233 237 240]
  [234 238 241]
  [236 240 243]]

 [[235 238 245]
  [235 238 245]
  [235 238 245]
  ...
  [236 240 243]
  [234 238 241]
  [233 237 240]]

 [[235 236 240]
  [235 236 240]
  [235 236 240]
  ...
  [235 239 242]
  [234 238 241]
  [231 235 238]]]"
133,0,4,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
134,0,3,"[[[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]

 ...

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [206 206 206]
  [206 206 206]
  [206 206 206]]]"
135,1,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
